table_name,field_name,field_value,language,translation
routes,route_short_name,沢田橋経由,en,Via Sawada Bashi
stop_times,stop_headsign,沢田橋経由,ja,沢田橋経由
routes,route_short_name,沢田橋経由,ja,沢田橋経由
stop_times,stop_headsign,東高校前経由,en,Via Higashi Koko Mae
routes,route_short_name,東高校前経由,en,Via Higashi Koko Mae
stop_times,stop_headsign,東高校前経由,ja,東高校前経由
routes,route_short_name,東高校前経由,ja,東高校前経由
stop_times,stop_headsign,ガーラタウン前経由,en,Via GALATOWN Mae
routes,route_short_name,ガーラタウン前経由,en,Via GALATOWN Mae
stop_times,stop_headsign,ガーラタウン前経由,ja,ガーラタウン前経由
routes,route_short_name,ガーラタウン前経由,ja,ガーラタウン前経由
stop_times,stop_headsign,牛館経由,en,Via Ushidate
routes,route_short_name,牛館経由,en,Via Ushidate
stop_times,stop_headsign,牛館経由,ja,牛館経由
routes,route_short_name,牛館経由,ja,牛館経由
stop_times,stop_headsign,臨時運行,en,relief service
routes,route_short_name,臨時運行,en,relief service
stop_times,stop_headsign,臨時運行,ja,臨時運行
routes,route_short_name,臨時運行,ja,臨時運行
stop_times,stop_headsign,新青森駅経由,en,Via Shin Aomori Sta.
routes,route_short_name,新青森駅経由,en,Via Shin Aomori Sta.
stop_times,stop_headsign,新青森駅経由,ja,新青森駅経由
routes,route_short_name,新青森駅経由,ja,新青森駅経由
stop_times,stop_headsign,田茂木野経由→田茂木沢終点,en,The last stop is Tamogisawa
routes,route_short_name,田茂木野経由→田茂木沢終点,en,The last stop is Tamogisawa
stop_times,stop_headsign,田茂木野経由→田茂木沢終点,ja,田茂木野経由→田茂木沢終点
routes,route_short_name,田茂木野経由→田茂木沢終点,ja,田茂木野経由→田茂木沢終点
stop_times,stop_headsign,つくしが丘病院→岩渡終点,en,The last stop is Iwatari
routes,route_short_name,つくしが丘病院→岩渡終点,en,The last stop is Iwatari
stop_times,stop_headsign,つくしが丘病院→岩渡終点,ja,つくしが丘病院→岩渡終点
routes,route_short_name,つくしが丘病院→岩渡終点,ja,つくしが丘病院→岩渡終点
stop_times,stop_headsign,幸畑団地経由,en,Via Kobata Danchi
routes,route_short_name,幸畑団地経由,en,Via Kobata Danchi
stop_times,stop_headsign,幸畑団地経由,ja,幸畑団地経由
routes,route_short_name,幸畑団地経由,ja,幸畑団地経由
stop_times,stop_headsign,商業高校前・第二養護学校前経由,en,Via Shogyo Koko・Dai Ni Yogo Gakko Mae
routes,route_short_name,商業高校前・第二養護学校前経由,en,Via Shogyo Koko・Dai Ni Yogo Gakko Mae
stop_times,stop_headsign,商業高校前・第二養護学校前経由,ja,商業高校前・第二養護学校前経由
routes,route_short_name,商業高校前・第二養護学校前経由,ja,商業高校前・第二養護学校前経由
stop_times,stop_headsign,急行バス・停車停留所にご注意下さい,en,Express
routes,route_short_name,急行バス・停車停留所にご注意下さい,en,Express
stop_times,stop_headsign,急行バス・停車停留所にご注意下さい,ja,急行バス・停車停留所にご注意下さい
routes,route_short_name,急行バス・停車停留所にご注意下さい,ja,急行バス・停車停留所にご注意下さい
stop_times,stop_headsign,戸山団地経由→沢山終点,en,The last stop is Sawayama
routes,route_short_name,戸山団地経由→沢山終点,en,The last stop is Sawayama
stop_times,stop_headsign,戸山団地経由→沢山終点,ja,戸山団地経由→沢山終点
routes,route_short_name,戸山団地経由→沢山終点,ja,戸山団地経由→沢山終点
stop_times,stop_headsign,東部(営)経由→工業高校終点,en,The last stop is Kogyo Koko
routes,route_short_name,東部(営)経由→工業高校終点,en,The last stop is Kogyo Koko
stop_times,stop_headsign,東部(営)経由→工業高校終点,ja,東部(営)経由→工業高校終点
routes,route_short_name,東部(営)経由→工業高校終点,ja,東部(営)経由→工業高校終点
stop_times,stop_headsign,問屋町経由,en,Via Ton'yamachi
routes,route_short_name,問屋町経由,en,Via Ton'yamachi
stop_times,stop_headsign,問屋町経由,ja,問屋町経由
routes,route_short_name,問屋町経由,ja,問屋町経由
stop_times,stop_headsign,公立大学経由,en,Via Koritsu Daigaku
routes,route_short_name,公立大学経由,en,Via Koritsu Daigaku
stop_times,stop_headsign,公立大学経由,ja,公立大学経由
routes,route_short_name,公立大学経由,ja,公立大学経由
stop_times,stop_headsign,イトーヨーカドー経由,en,Via Ito Yokado
routes,route_short_name,イトーヨーカドー経由,en,Via Ito Yokado
stop_times,stop_headsign,イトーヨーカドー経由,ja,イトーヨーカドー経由
routes,route_short_name,イトーヨーカドー経由,ja,イトーヨーカドー経由
stop_times,stop_headsign,東高校前・盲学校経由,en,Via Higashi Koko・Mo Gakko
routes,route_short_name,東高校前・盲学校経由,en,Via Higashi Koko・Mo Gakko
stop_times,stop_headsign,東高校前・盲学校経由,ja,東高校前・盲学校経由
routes,route_short_name,東高校前・盲学校経由,ja,東高校前・盲学校経由
stop_times,stop_headsign,流通団地経由→南部工業団地終点,en,The last stop is Nanbu Kogyo Danchi
routes,route_short_name,流通団地経由→南部工業団地終点,en,The last stop is Nanbu Kogyo Danchi
stop_times,stop_headsign,流通団地経由→南部工業団地終点,ja,流通団地経由→南部工業団地終点
routes,route_short_name,流通団地経由→南部工業団地終点,ja,流通団地経由→南部工業団地終点
stop_times,stop_headsign,中大野経由,en,Via Naka Ono
routes,route_short_name,中大野経由,en,Via Naka Ono
stop_times,stop_headsign,中大野経由,ja,中大野経由
routes,route_short_name,中大野経由,ja,中大野経由
stop_times,stop_headsign,新生町経由,en,Via Shinseicho
routes,route_short_name,新生町経由,en,Via Shinseicho
stop_times,stop_headsign,新生町経由,ja,新生町経由
routes,route_short_name,新生町経由,ja,新生町経由
stop_times,stop_headsign,駅西口経由,en,Via Eki Nishiguchi
routes,route_short_name,駅西口経由,en,Via Eki Nishiguchi
stop_times,stop_headsign,駅西口経由,ja,駅西口経由
routes,route_short_name,駅西口経由,ja,駅西口経由
stop_times,stop_headsign,新生町・駅西口経由,en,Via Shinseicho・Eki Nishiguchi
routes,route_short_name,新生町・駅西口経由,en,Via Shinseicho・Eki Nishiguchi
stop_times,stop_headsign,新生町・駅西口経由,ja,新生町・駅西口経由
routes,route_short_name,新生町・駅西口経由,ja,新生町・駅西口経由
stop_times,stop_headsign,市民病院経由,en,Via Shimin Byoin
routes,route_short_name,市民病院経由,en,Via Shimin Byoin
stop_times,stop_headsign,市民病院経由,ja,市民病院経由
routes,route_short_name,市民病院経由,ja,市民病院経由
stop_times,stop_headsign,三内霊園経由,en,Via Sannai Reien
routes,route_short_name,三内霊園経由,en,Via Sannai Reien
stop_times,stop_headsign,三内霊園経由,ja,三内霊園経由
routes,route_short_name,三内霊園経由,ja,三内霊園経由
stop_times,stop_headsign,岡造道経由,en,Via Okatsukurimichi
routes,route_short_name,岡造道経由,en,Via Okatsukurimichi
stop_times,stop_headsign,岡造道経由,ja,岡造道経由
routes,route_short_name,岡造道経由,ja,岡造道経由
stop_times,stop_headsign,免許センター・西部工業団地経由,en,Via Unten Menkyo Center・Seibu Kogyo Danchi
routes,route_short_name,免許センター・西部工業団地経由,en,Via Unten Menkyo Center・Seibu Kogyo Danchi
stop_times,stop_headsign,免許センター・西部工業団地経由,ja,免許センター・西部工業団地経由
routes,route_short_name,免許センター・西部工業団地経由,ja,免許センター・西部工業団地経由
stop_times,stop_headsign,西部工業団地経由,en,Via Seibu Kogyo Danchi
routes,route_short_name,西部工業団地経由,en,Via Seibu Kogyo Danchi
stop_times,stop_headsign,西部工業団地経由,ja,西部工業団地経由
routes,route_short_name,西部工業団地経由,ja,西部工業団地経由
stop_times,stop_headsign,南中学校経由,en,Via Minami Chugakko
routes,route_short_name,南中学校経由,en,Via Minami Chugakko
stop_times,stop_headsign,南中学校経由,ja,南中学校経由
routes,route_short_name,南中学校経由,ja,南中学校経由
stop_times,stop_headsign,桜川経由,en,Via Sakuragawa
routes,route_short_name,桜川経由,en,Via Sakuragawa
stop_times,stop_headsign,桜川経由,ja,桜川経由
routes,route_short_name,桜川経由,ja,桜川経由
stop_times,stop_headsign,免許センター経由,en,Via Unten Menkyo Center
routes,route_short_name,免許センター経由,en,Via Unten Menkyo Center
stop_times,stop_headsign,免許センター経由,ja,免許センター経由
routes,route_short_name,免許センター経由,ja,免許センター経由
stop_times,stop_headsign,北高校構内経由,en,Via Kita Koko
routes,route_short_name,北高校構内経由,en,Via Kita Koko
stop_times,stop_headsign,北高校構内経由,ja,北高校構内経由
routes,route_short_name,北高校構内経由,ja,北高校構内経由
stop_times,stop_headsign,緑ヶ丘団地経由,en,Via Midorigaoka Danchi
routes,route_short_name,緑ヶ丘団地経由,en,Via Midorigaoka Danchi
stop_times,stop_headsign,緑ヶ丘団地経由,ja,緑ヶ丘団地経由
routes,route_short_name,緑ヶ丘団地経由,ja,緑ヶ丘団地経由
stop_times,stop_headsign,新青森駅・緑ヶ丘団地経由,en,Via Shin Aomori Sta.・Midorigaoka Danchi
routes,route_short_name,新青森駅・緑ヶ丘団地経由,en,Via Shin Aomori Sta.・Midorigaoka Danchi
stop_times,stop_headsign,新青森駅・緑ヶ丘団地経由,ja,新青森駅・緑ヶ丘団地経由
routes,route_short_name,新青森駅・緑ヶ丘団地経由,ja,新青森駅・緑ヶ丘団地経由
stop_times,stop_headsign,浅虫温泉駅→浅虫水族館終点,en,The last stop is Asamushi Suizokukan
routes,route_short_name,浅虫温泉駅→浅虫水族館終点,en,The last stop is Asamushi Suizokukan
stop_times,stop_headsign,浅虫温泉駅→浅虫水族館終点,ja,浅虫温泉駅→浅虫水族館終点
routes,route_short_name,浅虫温泉駅→浅虫水族館終点,ja,浅虫温泉駅→浅虫水族館終点
stop_times,stop_headsign,期間運行・春分の日～11月の土日祝、及び8月13日～15日運行,en,Period operation
routes,route_short_name,期間運行・春分の日～11月の土日祝、及び8月13日～15日運行,en,Period operation
stop_times,stop_headsign,期間運行・春分の日～11月の土日祝、及び8月13日～15日運行,ja,期間運行・春分の日～11月の土日祝、及び8月13日～15日運行
routes,route_short_name,期間運行・春分の日～11月の土日祝、及び8月13日～15日運行,ja,期間運行・春分の日～11月の土日祝、及び8月13日～15日運行
stop_times,stop_headsign,新青森駅・東高校経由,en,Via Shin Aomori Sta.・Higashi Koko
routes,route_short_name,新青森駅・東高校経由,en,Via Shin Aomori Sta.・Higashi Koko
stop_times,stop_headsign,新青森駅・東高校経由,ja,新青森駅・東高校経由
routes,route_short_name,新青森駅・東高校経由,ja,新青森駅・東高校経由
stop_times,stop_headsign,浪館中央循環（※旧線路通り経由）,en,Namidate Chuo Junkan
routes,route_short_name,浪館中央循環（※旧線路通り経由）,en,Namidate Chuo Junkan
stop_times,stop_headsign,浪館中央循環（※旧線路通り経由）,ja,浪館中央循環（※旧線路通り経由）
routes,route_short_name,浪館中央循環（※旧線路通り経由）,ja,浪館中央循環（※旧線路通り経由）
stop_times,stop_headsign,浪館中央循環（※浪館通り経由）,en,Namidate Chuo Junkan
routes,route_short_name,浪館中央循環（※浪館通り経由）,en,Namidate Chuo Junkan
stop_times,stop_headsign,浪館中央循環（※浪館通り経由）,ja,浪館中央循環（※浪館通り経由）
routes,route_short_name,浪館中央循環（※浪館通り経由）,ja,浪館中央循環（※浪館通り経由）
stop_times,stop_headsign,新総合運動公園（アリーナ）経由,en,Via Shin Sogo Undo Koen
routes,route_short_name,新総合運動公園（アリーナ）経由,en,Via Shin Sogo Undo Koen
stop_times,stop_headsign,新総合運動公園（アリーナ）経由,ja,新総合運動公園（アリーナ）経由
routes,route_short_name,新総合運動公園（アリーナ）経由,ja,新総合運動公園（アリーナ）経由
stop_times,stop_headsign,第二養護学校前経由,en,Via Dai Ni Yogo Gakko Mae
routes,route_short_name,第二養護学校前経由,en,Via Dai Ni Yogo Gakko Mae
stop_times,stop_headsign,第二養護学校前経由,ja,第二養護学校前経由
routes,route_short_name,第二養護学校前経由,ja,第二養護学校前経由
stop_times,stop_headsign,田茂木沢線,en,Tamogisawa Line
routes,route_short_name,田茂木沢線,en,Tamogisawa Line
stop_times,stop_headsign,田茂木沢線,ja,田茂木沢線
routes,route_short_name,田茂木沢線,ja,田茂木沢線
stop_times,stop_headsign,沢山線,en,Sawayama Line
routes,route_short_name,沢山線,en,Sawayama Line
stop_times,stop_headsign,沢山線,ja,沢山線
routes,route_short_name,沢山線,ja,沢山線
stop_times,stop_headsign,沢山,en,Sawayama
routes,route_short_name,沢山,en,Sawayama
stop_times,stop_headsign,沢山,ja,沢山
routes,route_short_name,沢山,ja,沢山
stop_times,stop_headsign,NTT青森支店,en,N T T Aomorishiten
routes,route_short_name,NTT青森支店,en,N T T Aomorishiten
