table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,en,Akashichō,0018-02,,
stops,stop_name,ja,赤土小学校前,0019-01,,
stops,stop_name,ja-Hrkt,あかどしょうがっこうまえ,0019-01,,
stops,stop_name,en,Akado-Shōgakkō,0019-01,,
stops,stop_name,ja,赤土小学校前,0019-02,,
stops,stop_name,ja-Hrkt,あかどしょうがっこうまえ,0019-02,,
stops,stop_name,en,Akado-Shōgakkō,0019-02,,
stops,stop_name,ja,赤仁田,0020-01,,
stops,stop_name,ja-Hrkt,あかにた,0020-01,,
stops,stop_name,en,Akanita,0020-01,,
stops,stop_name,ja,赤仁田,0020-02,,
stops,stop_name,ja-Hrkt,あかにた,0020-02,,
stops,stop_name,en,Akanita,0020-02,,
stops,stop_name,ja,赤羽駅東口,0021-01,,
stops,stop_name,ja-Hrkt,あかばねえきひがしぐち,0021-01,,
stops,stop_name,en,Akabane Sta. Higashiguchi (East Exit),0021-01,,
stops,stop_name,ja,赤羽橋駅前,0022-05,,
stops,stop_name,ja-Hrkt,あかばねばしえきまえ,0022-05,,
stops,stop_name,en,Akabanebashi Sta.,0022-05,,
stops,stop_name,ja,赤羽橋駅前,0022-06,,
stops,stop_name,ja-Hrkt,あかばねばしえきまえ,0022-06,,
stops,stop_name,en,Akabanebashi Sta.,0022-06,,
stops,stop_name,ja,赤羽橋駅前,0022-07,,
stops,stop_name,ja-Hrkt,あかばねばしえきまえ,0022-07,,
stops,stop_name,en,Akabanebashi Sta.,0022-07,,
stops,stop_name,ja,赤羽二丁目,0023-01,,
stops,stop_name,ja-Hrkt,あかばねにちょうめ,0023-01,,
stops,stop_name,en,Akabane-Nichōme (Akabane 2),0023-01,,
stops,stop_name,ja,赤羽二丁目,0023-02,,
stops,stop_name,ja-Hrkt,あかばねにちょうめ,0023-02,,
stops,stop_name,en,Akabane-Nichōme (Akabane 2),0023-02,,
stops,stop_name,ja,赤不動,0024-01,,
stops,stop_name,ja-Hrkt,あかふどう,0024-01,,
stops,stop_name,en,Akafudō,0024-01,,
stops,stop_name,ja,赤不動,0024-02,,
stops,stop_name,ja-Hrkt,あかふどう,0024-02,,
stops,stop_name,en,Akafudō,0024-02,,
stops,stop_name,ja,秋葉原駅前,0027-01,,
stops,stop_name,ja-Hrkt,あきはばらえきまえ,0027-01,,
stops,stop_name,en,Akihabara Sta.,0027-01,,
stops,stop_name,ja,秋葉原駅前,0027-04,,
stops,stop_name,ja-Hrkt,あきはばらえきまえ,0027-04,,
stops,stop_name,en,Akihabara Sta.,0027-04,,
stops,stop_name,ja,曙橋,0028-01,,
stops,stop_name,ja-Hrkt,あけぼのばし,0028-01,,
stops,stop_name,en,Akebonobashi,0028-01,,
stops,stop_name,ja,曙橋,0028-02,,
stops,stop_name,ja-Hrkt,あけぼのばし,0028-02,,
stops,stop_name,en,Akebonobashi,0028-02,,
stops,stop_name,ja,阿佐ヶ谷駅前,0029-01,,
stops,stop_name,ja-Hrkt,あさがやえきまえ,0029-01,,
stops,stop_name,en,Asagaya Sta.,0029-01,,
stops,stop_name,ja,阿佐ヶ谷南一丁目,0030-01,,
stops,stop_name,ja-Hrkt,あさがやみなみいっちょうめ,0030-01,,
stops,stop_name,en,Asagaya-Minami-Itchōme (Asagaya-Minami 1),0030-01,,
stops,stop_name,ja,阿佐ヶ谷南一丁目,0030-02,,
stops,stop_name,ja-Hrkt,あさがやみなみいっちょうめ,0030-02,,
stops,stop_name,en,Asagaya-Minami-Itchōme (Asagaya-Minami 1),0030-02,,
stops,stop_name,ja,浅草雷門,0032-01,,
stops,stop_name,ja-Hrkt,あさくさかみなりもん,0032-01,,
stops,stop_name,en,Asakusa-Kaminarimon (Asakusa-Kaminarimon Gate),0032-01,,
stops,stop_name,ja,浅草雷門,0032-02,,
stops,stop_name,ja-Hrkt,あさくさかみなりもん,0032-02,,
stops,stop_name,en,Asakusa-Kaminarimon (Asakusa-Kaminarimon Gate),0032-02,,
stops,stop_name,ja,浅草雷門,0032-03,,
stops,stop_name,ja-Hrkt,あさくさかみなりもん,0032-03,,
stops,stop_name,en,Asakusa-Kaminarimon (Asakusa-Kaminarimon Gate),0032-03,,
stops,stop_name,ja,浅草雷門,0032-04,,
stops,stop_name,ja-Hrkt,あさくさかみなりもん,0032-04,,
stops,stop_name,en,Asakusa-Kaminarimon (Asakusa-Kaminarimon Gate),0032-04,,
stops,stop_name,ja,浅草雷門,0032-05,,
stops,stop_name,ja-Hrkt,あさくさかみなりもん,0032-05,,
stops,stop_name,en,Asakusa-Kaminarimon (Asakusa-Kaminarimon Gate),0032-05,,
stops,stop_name,ja,浅草雷門,0032-06,,
stops,stop_name,ja-Hrkt,あさくさかみなりもん,0032-06,,
stops,stop_name,en,Asakusa-Kaminarimon (Asakusa-Kaminarimon Gate),0032-06,,
stops,stop_name,ja,浅草雷門,0032-08,,
stops,stop_name,ja-Hrkt,あさくさかみなりもん,0032-08,,
stops,stop_name,en,Asakusa-Kaminarimon (Asakusa-Kaminarimon Gate),0032-08,,
stops,stop_name,ja,浅草警察署前,0033-01,,
stops,stop_name,ja-Hrkt,あさくさけいさつしょまえ,0033-01,,
stops,stop_name,en,Asakusa-Keisatsusho (Asakusa Police Station),0033-01,,
stops,stop_name,ja,浅草警察署前,0033-02,,
stops,stop_name,ja-Hrkt,あさくさけいさつしょまえ,0033-02,,
stops,stop_name,en,Asakusa-Keisatsusho (Asakusa Police Station),0033-02,,
stops,stop_name,ja,浅草公園六区,0034-01,,
stops,stop_name,ja-Hrkt,あさくさこうえんろっく,0034-01,,
stops,stop_name,en,Asakusa-Kōen-Rokku,0034-01,,
stops,stop_name,ja,浅草公園六区,0034-02,,
stops,stop_name,ja-Hrkt,あさくさこうえんろっく,0034-02,,
stops,stop_name,en,Asakusa-Kōen-Rokku,0034-02,,
stops,stop_name,ja,浅草公園六区,0034-05,,
stops,stop_name,ja-Hrkt,あさくさこうえんろっく,0034-05,,
stops,stop_name,en,Asakusa-Kōen-Rokku,0034-05,,
stops,stop_name,ja,浅草寿町,0035-06,,
stops,stop_name,ja-Hrkt,あさくさことぶきちょう,0035-06,,
stops,stop_name,en,Asakusa-Kotobukichō,0035-06,,
stops,stop_name,ja,浅草寿町,0035-08,,
stops,stop_name,ja-Hrkt,あさくさことぶきちょう,0035-08,,
stops,stop_name,en,Asakusa-Kotobukichō,0035-08,,
stops,stop_name,ja,浅草寿町,0035-09,,
stops,stop_name,ja-Hrkt,あさくさことぶきちょう,0035-09,,
stops,stop_name,en,Asakusa-Kotobukichō,0035-09,,
stops,stop_name,ja,浅草寿町,0035-10,,
stops,stop_name,ja-Hrkt,あさくさことぶきちょう,0035-10,,
stops,stop_name,en,Asakusa-Kotobukichō,0035-10,,
stops,stop_name,ja,浅草寿町,0035-11,,
stops,stop_name,ja-Hrkt,あさくさことぶきちょう,0035-11,,
stops,stop_name,en,Asakusa-Kotobukichō,0035-11,,
stops,stop_name,ja,浅草寿町,0035-12,,
stops,stop_name,ja-Hrkt,あさくさことぶきちょう,0035-12,,
stops,stop_name,en,Asakusa-Kotobukichō,0035-12,,
stops,stop_name,ja,浅草橋,0036-01,,
stops,stop_name,ja-Hrkt,あさくさばし,0036-01,,
stops,stop_name,en,Asakusabashi,0036-01,,
stops,stop_name,ja,浅草橋,0036-02,,
stops,stop_name,ja-Hrkt,あさくさばし,0036-02,,
stops,stop_name,en,Asakusabashi,0036-02,,
stops,stop_name,ja,浅草橋,0036-05,,
stops,stop_name,ja-Hrkt,あさくさばし,0036-05,,
stops,stop_name,en,Asakusabashi,0036-05,,
stops,stop_name,ja,浅草橋駅前,0037-03,,
stops,stop_name,ja-Hrkt,あさくさばしえきまえ,0037-03,,
stops,stop_name,en,Asakusabashi Sta.,0037-03,,
stops,stop_name,ja,浅草橋駅前,0037-04,,
stops,stop_name,ja-Hrkt,あさくさばしえきまえ,0037-04,,
stops,stop_name,en,Asakusabashi Sta.,0037-04,,
stops,stop_name,ja,浅草一丁目,0038-01,,
stops,stop_name,ja-Hrkt,あさくさいっちょうめ,0038-01,,
stops,stop_name,en,Asakusa-Itchōme (Asakusa 1),0038-01,,
stops,stop_name,ja,浅草一丁目,0038-02,,
stops,stop_name,ja-Hrkt,あさくさいっちょうめ,0038-02,,
stops,stop_name,en,Asakusa-Itchōme (Asakusa 1),0038-02,,
stops,stop_name,ja,浅草一丁目,0038-03,,
stops,stop_name,ja-Hrkt,あさくさいっちょうめ,0038-03,,
stops,stop_name,en,Asakusa-Itchōme (Asakusa 1),0038-03,,
stops,stop_name,ja,浅草一丁目,0038-04,,
stops,stop_name,ja-Hrkt,あさくさいっちょうめ,0038-04,,
stops,stop_name,en,Asakusa-Itchōme (Asakusa 1),0038-04,,
stops,stop_name,ja,浅草二丁目,0039-01,,
