service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
01-100,0,0,0,0,0,0,1,20250114,20280113
01-160,0,0,0,0,0,1,0,20250114,20280113
01-170,1,1,1,1,1,0,0,20250114,20280113
06-100,0,0,0,0,0,0,1,20250114,20280113
06-160,0,0,0,0,0,1,0,20250114,20280113
06-170,1,1,1,1,1,0,0,20250114,20280113
09-100,0,0,0,0,0,0,1,20250114,20280113
09-160,0,0,0,0,0,1,0,20250114,20280113
09-170,1,1,1,1,1,0,0,20250114,20280113
13-100,0,0,0,0,0,0,1,20250114,20280113
13-160,0,0,0,0,0,1,0,20250114,20280113
13-170,1,1,1,1,1,0,0,20250114,20280113
21-100,0,0,0,0,0,0,1,20250114,20280113
21-160,0,0,0,0,0,1,0,20250114,20280113
21-170,1,1,1,1,1,0,0,20250114,20280113
25-100,0,0,0,0,0,0,1,20250114,20280113
25-160,0,0,0,0,0,1,0,20250114,20280113
25-170,1,1,1,1,1,0,0,20250114,20280113
29-100,0,0,0,0,0,0,1,20250114,20280113
29-160,0,0,0,0,0,1,0,20250114,20280113
29-170,1,1,1,1,1,0,0,20250114,20280113
33-100,0,0,0,0,0,0,1,20250114,20280113
33-160,0,0,0,0,0,1,0,20250114,20280113
33-170,1,1,1,1,1,0,0,20250114,20280113
37-100,0,0,0,0,0,0,1,20250114,20280113
37-160,0,0,0,0,0,1,0,20250114,20280113
37-170,1,1,1,1,1,0,0,20250114,20280113
41-100,0,0,0,0,0,0,1,20250114,20280113
41-160,0,0,0,0,0,1,0,20250114,20280113
41-170,1,1,1,1,1,0,0,20250114,20280113
45-100,0,0,0,0,0,0,1,20250114,20280113
45-160,0,0,0,0,0,1,0,20250114,20280113
45-170,1,1,1,1,1,0,0,20250114,20280113
49-100,0,0,0,0,0,0,1,20250114,20280113
49-160,0,0,0,0,0,1,0,20250114,20280113
49-170,1,1,1,1,1,0,0,20250114,20280113
53-100,0,0,0,0,0,0,1,20250114,20280113
53-160,0,0,0,0,0,1,0,20250114,20280113
53-170,1,1,1,1,1,0,0,20250114,20280113
57-100,0,0,0,0,0,0,1,20250114,20280113
57-160,0,0,0,0,0,1,0,20250114,20280113
57-170,1,1,1,1,1,0,0,20250114,20280113
61-100,0,0,0,0,0,0,1,20250114,20280113
61-160,0,0,0,0,0,1,0,20250114,20280113
61-170,1,1,1,1,1,0,0,20250114,20280113
65-100,0,0,0,0,0,0,1,20250114,20280113
65-160,0,0,0,0,0,1,0,20250114,20280113
65-170,1,1,1,1,1,0,0,20250114,20280113
69-100,0,0,0,0,0,0,1,20250114,20280113
69-160,0,0,0,0,0,1,0,20250114,20280113
69-170,1,1,1,1,1,0,0,20250114,20280113
77-100,0,0,0,0,0,0,1,20250114,20280113
77-160,0,0,0,0,0,1,0,20250114,20280113
77-170,1,1,1,1,1,0,0,20250114,20280113
81-100,0,0,0,0,0,0,1,20250114,20280113
81-160,0,0,0,0,0,1,0,20250114,20280113
81-170,1,1,1,1,1,0,0,20250114,20280113
85-100,0,0,0,0,0,0,1,20250114,20280113
85-160,0,0,0,0,0,1,0,20250114,20280113
85-170,1,1,1,1,1,0,0,20250114,20280113
