epoch,accuracy,loss,val_accuracy,val_loss
0,0.7077586054801941,0.6085180640220642,0.7241379022598267,0.48030468821525574
1,0.7250000238418579,0.48590734601020813,0.8758620619773865,0.30238765478134155
2,0.8241379261016846,0.38273414969444275,0.951724112033844,0.22221051156520844
3,0.8741379380226135,0.2939903736114502,0.9620689749717712,0.17171776294708252
4,0.9353448152542114,0.2122216373682022,0.9931034445762634,0.07047758996486664
5,0.9396551847457886,0.17529430985450745,0.9896551966667175,0.050010938197374344
6,0.9370689392089844,0.175064817070961,0.9862068891525269,0.05818008631467819
7,0.9672414064407349,0.10713883489370346,0.27586206793785095,2.330747365951538
8,0.8965517282485962,0.3523390293121338,0.9965517520904541,0.03584252670407295
9,0.9551724195480347,0.10815024375915527,0.9965517520904541,0.04137413948774338
10,0.949999988079071,0.10651224851608276,0.9586206674575806,0.2852957248687744
11,0.9603448510169983,0.12674428522586823,0.9965517520904541,0.023815933614969254
12,0.9637930989265442,0.08579453825950623,0.9965517520904541,0.03084171563386917
13,0.9620689749717712,0.08623145520687103,0.9965517520904541,0.03524918109178543
14,0.9646551609039307,0.07243663817644119,0.9965517520904541,0.030158624053001404
15,0.9637930989265442,0.06398317217826843,0.9965517520904541,0.039072342216968536
16,0.9672414064407349,0.07832583785057068,0.9965517520904541,0.03260871395468712
17,0.9672414064407349,0.058306291699409485,0.9965517520904541,0.030676888301968575
18,0.9629310369491577,0.07686618715524673,0.9724137783050537,0.2071290761232376
19,0.9612069129943848,0.091560959815979,0.9965517520904541,0.02277485653758049
20,0.9698275923728943,0.054155465215444565,0.9965517520904541,0.03757411241531372
21,0.9655172228813171,0.05278918892145157,0.9965517520904541,0.03577630594372749
22,0.9637930989265442,0.05828239768743515,0.9965517520904541,0.037175409495830536
23,0.9637930989265442,0.05398810654878616,0.9965517520904541,0.0436534620821476
24,0.9525862336158752,0.0621877983212471,0.9758620858192444,0.20719139277935028
25,0.959482729434967,0.05157104507088661,0.9965517520904541,0.0488898828625679
26,0.9663792848587036,0.05262219160795212,0.9965517520904541,0.05525849387049675
27,0.9603448510169983,0.053284741938114166,0.9965517520904541,0.0660080686211586
28,0.9293103218078613,0.19920319318771362,0.9896551966667175,0.14861324429512024
29,0.9681034684181213,0.05092904716730118,0.9965517520904541,0.06386017054319382
30,0.9724137783050537,0.041052334010601044,0.9965517520904541,0.04539664462208748
31,0.9689655303955078,0.04089397192001343,0.9965517520904541,0.05496446415781975
