epoch,accuracy,loss,val_accuracy,val_loss
0,0.625,0.6099357604980469,0.9275861978530884,0.3170567452907562
1,0.8008620738983154,0.41063129901885986,0.982758641242981,0.1683482676744461
2,0.915517270565033,0.276652067899704,0.9931034445762634,0.06772429496049881
3,0.9224137663841248,0.22566474974155426,0.9931034445762634,0.02895527146756649
4,0.9396551847457886,0.19203956425189972,0.9965517520904541,0.041188985109329224
5,0.959482729434967,0.15917068719863892,0.9931034445762634,0.02699805609881878
6,0.9672414064407349,0.12936848402023315,0.9965517520904541,0.01971789449453354
7,0.9655172228813171,0.10370807349681854,0.951724112033844,0.09802310168743134
8,0.9387931227684021,0.18549376726150513,0.9931034445762634,0.02279668301343918
9,0.9706896543502808,0.09650879353284836,0.9965517520904541,0.022761886939406395
10,0.9732758402824402,0.08449999988079071,0.9965517520904541,0.024435147643089294
11,0.9853448271751404,0.07161007076501846,0.9965517520904541,0.025379423052072525
12,0.9758620858192444,0.06939350813627243,0.9965517520904541,0.007138876244425774
13,0.9750000238418579,0.06978458166122437,0.9965517520904541,0.022960614413022995
14,0.9844827651977539,0.047063618898391724,0.9965517520904541,0.016820084303617477
15,0.9818965792655945,0.05588790774345398,0.9965517520904541,0.031965333968400955
16,0.9801723957061768,0.048847902566194534,0.9965517520904541,0.03442825376987457
17,0.9836207032203674,0.04729141667485237,0.9965517520904541,0.02621324732899666
18,0.982758641242981,0.04283757880330086,0.9965517520904541,0.027279239147901535
19,0.9732758402824402,0.04994115233421326,0.9965517520904541,0.03621789440512657
20,0.9836207032203674,0.04193967208266258,0.9965517520904541,0.03958006948232651
21,0.9853448271751404,0.03185563161969185,0.9965517520904541,0.048895400017499924
22,0.9879310131072998,0.03793836012482643,0.9965517520904541,0.02816205471754074
23,0.982758641242981,0.04484735056757927,0.9965517520904541,0.003335322253406048
24,0.9758620858192444,0.04838649928569794,1.0,0.0022051087580621243
25,0.9793103337287903,0.04507540538907051,1.0,0.0010302368318662047
26,0.9887930750846863,0.03771528974175453,0.9965517520904541,0.015510626137256622
27,0.9836207032203674,0.03698005527257919,1.0,1.0478979675099254e-05
28,0.9810344576835632,0.04251541569828987,1.0,7.643895514775068e-06
29,0.9896551966667175,0.025615138933062553,0.9965517520904541,0.003913457039743662
30,0.9913793206214905,0.02784557081758976,0.9965517520904541,0.013194567523896694
31,0.9810344576835632,0.038641367107629776,1.0,6.576914893230423e-05
32,0.9862068891525269,0.03756207600235939,1.0,1.6339932074060926e-08
33,0.9818965792655945,0.03443737328052521,1.0,3.890598236466758e-05
34,0.9879310131072998,0.02648051269352436,1.0,0.0008303810027427971
35,0.9896551966667175,0.02789989300072193,1.0,1.878666807897389e-05
36,0.9844827651977539,0.039127200841903687,1.0,1.0091739568451885e-05
37,0.9887930750846863,0.03387495130300522,0.9965517520904541,0.00400222884491086
38,0.9844827651977539,0.03483422100543976,1.0,1.1746426054060066e-07
39,0.9793103337287903,0.0363994725048542,0.9965517520904541,0.003780642757192254
40,0.9836207032203674,0.03664623945951462,1.0,9.436678374186158e-05
41,0.9879310131072998,0.029105469584465027,0.9965517520904541,0.0065953428857028484
42,0.990517258644104,0.02651194855570793,1.0,4.616586011252366e-07
43,0.9879310131072998,0.026285653933882713,1.0,0.00019740067364182323
44,0.9836207032203674,0.03148868307471275,1.0,1.397628945909446e-08
45,0.992241382598877,0.02569599449634552,0.9965517520904541,0.003588248509913683
46,0.9939655065536499,0.024741172790527344,1.0,1.0112971722264774e-05
47,0.9862068891525269,0.033116281032562256,0.9965517520904541,0.002604144625365734
48,0.9853448271751404,0.03368498757481575,0.9965517520904541,0.007547760847955942
49,0.9931034445762634,0.016297413036227226,1.0,0.0
50,0.9853448271751404,0.034285251051187515,1.0,1.7675905183978102e-08
51,0.9887930750846863,0.027635153383016586,1.0,6.4743037597736475e-09
52,0.992241382598877,0.024842487648129463,1.0,9.248998789068708e-10
53,0.982758641242981,0.033349908888339996,1.0,1.1407114364203608e-08
54,0.9913793206214905,0.02423550747334957,1.0,1.2979668895241048e-07
55,0.9862068891525269,0.029821529984474182,1.0,4.1106651416100703e-10
56,0.990517258644104,0.02280743420124054,1.0,2.2608732663798037e-08
57,0.992241382598877,0.023198161274194717,0.9965517520904541,0.006457803305238485
58,0.9844827651977539,0.03366275504231453,1.0,0.0
59,0.9887930750846863,0.024426989257335663,1.0,0.0
60,0.9853448271751404,0.02936834841966629,1.0,0.0
61,0.9870689511299133,0.027830759063363075,1.0,0.0
