service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
01-100,0,0,0,0,0,0,1,20241211,20271210
01-160,0,0,0,0,0,1,0,20241211,20271210
01-170,1,1,1,1,1,0,0,20241211,20271210
06-100,0,0,0,0,0,0,1,20241211,20271210
06-160,0,0,0,0,0,1,0,20241211,20271210
06-170,1,1,1,1,1,0,0,20241211,20271210
09-100,0,0,0,0,0,0,1,20241211,20271210
09-160,0,0,0,0,0,1,0,20241211,20271210
09-170,1,1,1,1,1,0,0,20241211,20271210
13-100,0,0,0,0,0,0,1,20241211,20271210
13-160,0,0,0,0,0,1,0,20241211,20271210
13-170,1,1,1,1,1,0,0,20241211,20271210
21-100,0,0,0,0,0,0,1,20241211,20271210
21-160,0,0,0,0,0,1,0,20241211,20271210
21-170,1,1,1,1,1,0,0,20241211,20271210
25-100,0,0,0,0,0,0,1,20241211,20271210
25-160,0,0,0,0,0,1,0,20241211,20271210
25-170,1,1,1,1,1,0,0,20241211,20271210
29-100,0,0,0,0,0,0,1,20241211,20271210
29-160,0,0,0,0,0,1,0,20241211,20271210
29-170,1,1,1,1,1,0,0,20241211,20271210
33-100,0,0,0,0,0,0,1,20241211,20271210
33-160,0,0,0,0,0,1,0,20241211,20271210
33-170,1,1,1,1,1,0,0,20241211,20271210
37-100,0,0,0,0,0,0,1,20241211,20271210
37-160,0,0,0,0,0,1,0,20241211,20271210
37-170,1,1,1,1,1,0,0,20241211,20271210
41-100,0,0,0,0,0,0,1,20241211,20271210
41-160,0,0,0,0,0,1,0,20241211,20271210
41-170,1,1,1,1,1,0,0,20241211,20271210
45-100,0,0,0,0,0,0,1,20241211,20271210
45-160,0,0,0,0,0,1,0,20241211,20271210
45-170,1,1,1,1,1,0,0,20241211,20271210
49-100,0,0,0,0,0,0,1,20241211,20271210
49-160,0,0,0,0,0,1,0,20241211,20271210
49-170,1,1,1,1,1,0,0,20241211,20271210
53-100,0,0,0,0,0,0,1,20241211,20271210
53-160,0,0,0,0,0,1,0,20241211,20271210
53-170,1,1,1,1,1,0,0,20241211,20271210
57-100,0,0,0,0,0,0,1,20241211,20271210
57-160,0,0,0,0,0,1,0,20241211,20271210
57-170,1,1,1,1,1,0,0,20241211,20271210
61-100,0,0,0,0,0,0,1,20241211,20271210
61-160,0,0,0,0,0,1,0,20241211,20271210
61-170,1,1,1,1,1,0,0,20241211,20271210
65-100,0,0,0,0,0,0,1,20241211,20271210
65-160,0,0,0,0,0,1,0,20241211,20271210
65-170,1,1,1,1,1,0,0,20241211,20271210
69-100,0,0,0,0,0,0,1,20241211,20271210
69-160,0,0,0,0,0,1,0,20241211,20271210
69-170,1,1,1,1,1,0,0,20241211,20271210
77-100,0,0,0,0,0,0,1,20241211,20271210
77-160,0,0,0,0,0,1,0,20241211,20271210
77-170,1,1,1,1,1,0,0,20241211,20271210
81-100,0,0,0,0,0,0,1,20241211,20271210
81-160,0,0,0,0,0,1,0,20241211,20271210
81-170,1,1,1,1,1,0,0,20241211,20271210
85-100,0,0,0,0,0,0,1,20241211,20271210
85-160,0,0,0,0,0,1,0,20241211,20271210
85-170,1,1,1,1,1,0,0,20241211,20271210
